Park,apr 2019,apr 2020,apr DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,68046,55713,-12333,105893,110351,4458
Arches NP,168788,0,-168788,352717,152501,-200216
Badlands NP,25083,17290,-7793,58640,54597,-4043
Big Bend NP,49312,0,-49312,205585,155737,-49848
Biscayne NP,64172,2358,-61814,251484,184016,-67468
Black Canyon of the Gunnison NP,25077,19803,-5274,48547,42871,-5676
Bryce Canyon NP,207061,3223,-203838,349587,119989,-229598
Canyonlands NP,89861,0,-89861,167504,35662,-131842
Capitol Reef NP,147156,13014,-134142,244833,93552,-151281
Carlsbad Caverns NP,37543,1139,-36404,116687,72243,-44444
Channel Islands NP,39218,113,-39105,105625,46874,-58751
Congaree NP,15408,0,-15408,50439,30682,-19757
Crater Lake NP,15898,686,-15212,26254,12833,-13421
Cuyahoga Valley NP,177318,177318,0,473920,473920,0
Death Valley NP,177696,18343,-159353,581128,352452,-228676
Denali NP & PRES,3686,5,-3681,10998,5885,-5113
Dry Tortugas NP,7720,200,-7520,28253,15757,-12496
Everglades NP,131278,4784,-126494,460928,366330,-94598
Gates of the Arctic NP & PRES,91,0,-91,165,0,-165
Gateway Arch NP,138309,30000,-108309,372925,198823,-174102
Glacier Bay NP & PRES,3642,168,-3474,4183,687,-3496
Glacier NP,35491,0,-35491,84301,56048,-28253
Grand Canyon NP,562265,0,-562265,1451599,775359,-676240
Grand Teton NP,59105,0,-59105,225517,158300,-67217
Great Basin NP,6100,816,-5284,10240,8372,-1868
Great Sand Dunes NP & PRES,25183,5227,-19956,54282,35840,-18442
Great Smoky Mountains NP,999259,99371,-899888,2704077,1452254,-1251823
Guadalupe Mountains NP,20970,0,-20970,59312,48372,-10940
Haleakala NP,87763,0,-87763,318026,182562,-135464
Hawaii Volcanoes NP,103247,0,-103247,466466,316608,-149858
Hot Springs NP,113397,39610,-73787,391973,191361,-200612
Indiana Dunes NP,107862,91272,-16590,482550,354802,-127748
Isle Royale NP,61,0,-61,157,137,-20
Joshua Tree NP,374789,0,-374789,1301195,793081,-508114
Katmai NP & PRES,100,100,0,400,400,0
Kenai Fjords NP,21,19,-2,119,177,58
Kobuk Valley NP,808,282,-526,3365,2486,-879
Lassen Volcanic NP,12477,0,-12477,35628,22425,-13203
Mammoth Cave NP,55210,8593,-46617,114986,55585,-59401
Mesa Verde NP,32428,0,-32428,50929,24487,-26442
Mount Rainier NP,29632,98,-29534,86409,48133,-38276
National Park of American Samoa,7452,0,-7452,19168,3760,-15408
North Cascades NP,44,0,-44,79,23,-56
Olympic NP,159983,40297,-119686,420184,307747,-112437
Petrified Forest NP,56567,0,-56567,148437,101502,-46935
Pinnacles NP,16234,1635,-14599,53804,66152,12348
Redwood NP,33179,5212,-27967,99014,59620,-39394
Rocky Mountain NP,160259,0,-160259,524698,354970,-169728
Saguaro NP,117802,22820,-94982,502416,392014,-110402
Sequoia NP,93054,0,-93054,221158,111814,-109344
Shenandoah NP,102672,5460,-97212,171782,200907,29125
Theodore Roosevelt NP,10516,3278,-7238,20153,21775,1622
Virgin Islands NP,13680,10552,-3128,25366,90847,65481
Voyageurs NP,213,0,-213,15487,10050,-5437
White Sands NP,62811,0,-62811,186747,96,-186651
Wind Cave NP,54922,29214,-25708,101855,68484,-33371
Wrangell-St. Elias NP & PRES,520,520,0,870,870,0
Yellowstone NP,48150,0,-48150,142391,89369,-53022
Yosemite NP,297207,0,-297207,699228,300520,-398708
Zion NP,372349,40396,-331953,869762,508508,-361254
