Park,feb 2019,feb 2020,feb DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,9154,13459,4305,17686,26099,8413
Arches NP,30239,42416,12177,51738,70878,19140
Badlands NP,8059,9979,1920,17040,20124,3084
Big Bend NP,43129,50584,7455,72447,94324,21877
Biscayne NP,59754,91655,31901,110627,170696,60069
Black Canyon of the Gunnison NP,6369,9112,2743,11290,17219,5929
Bryce Canyon NP,29813,38890,9077,66673,71634,4961
Canyonlands NP,9705,12121,2416,16851,21172,4321
Capitol Reef NP,12368,20579,8211,24261,34734,10473
Carlsbad Caverns NP,19470,20860,1390,22563,42179,19616
Channel Islands NP,22263,19682,-2581,31456,36848,5392
Congaree NP,10910,10220,-690,17910,19892,1982
Crater Lake NP,2436,3351,915,5556,6843,1287
Cuyahoga Valley NP,82061,82061,0,170081,170081,0
Death Valley NP,112925,125375,12450,224879,221672,-3207
Denali NP & PRES,2603,2863,260,2699,4193,1494
Dry Tortugas NP,6937,5972,-965,13116,11883,-1233
Everglades NP,96953,165994,69041,182791,261629,78838
Gateway Arch NP,51416,62958,11542,70378,114711,44333
Glacier Bay NP & PRES,173,173,0,346,346,0
Glacier NP,11240,18020,6780,24821,31671,6850
Grand Canyon NP,213050,252897,39847,438106,499357,61251
Grand Teton NP,43913,55197,11284,100548,106845,6297
Great Basin NP,1060,2244,1184,1749,4863,3114
Great Sand Dunes NP & PRES,5154,5820,666,9558,11052,1494
Great Smoky Mountains NP,421770,426839,5069.00000000003,918513,865348,-53165
Guadalupe Mountains NP,9462,14716,5254,10511,28867,18356
Haleakala NP,83666,69447,-14219,137189,146874,9685
Hawaii Volcanoes NP,120931,124004,3073,249767,254913,5146
Hot Springs NP,79322,49272,-30050,153286,87641,-65645
Indiana Dunes NP,85702,87813,2111,155618,170257,14639
Isle Royale NP,37,49,12,41,96,55
Joshua Tree NP,261230,298294,37064,457223,566481,109258
Katmai NP & PRES,100,100,0,200,200,0
Kenai Fjords NP,37,58,21,58,86,28
Kobuk Valley NP,695,733,38,1793,1937,144
Lassen Volcanic NP,6561,11655,5094,15207,22425,7218
Mammoth Cave NP,10346,9589,-757,13997,23543,9546
Mesa Verde NP,3414,7422,4008,3509,14294,10785
Mount Rainier NP,11743,6783,-4960,24676,18947,-5729
National Park of American Samoa,3772,564,-3208,4564,3433,-1131
North Cascades NP,0,2,2,9,4,-5
Olympic NP,73756,76248,2492,146481,151136,4655
Petrified Forest NP,21342,29078,7736,36683,55686,19003
Pinnacles NP,11735,22021,10286,12889,45980,33091
Redwood NP,17768,21201,3433,34897,45329,10432
Rocky Mountain NP,99873,130414,30541,218025,257280,39255
Saguaro NP,149371,146224,-3147,198339,270293,71954
Sequoia NP,28737,48821,20084,64761,95189,30428
Shenandoah NP,10264,35473,25209,30509,62709,32200
Theodore Roosevelt NP,1187,4190,3003,3702,6293,2591
Virgin Islands NP,5753,34404,28651,6103,64039,57936
Voyageurs NP,7602,5316,-2286,12060,7901,-4159
White Sands NP,35531,46,-35485,40224,96,-40128
Wind Cave NP,14127,11687,-2440,25558,25328,-230
Wrangell-St. Elias NP & PRES,95,95,0,120,120,0
Yellowstone NP,31650,41712,10062,65546,66943,1397
Yosemite NP,111665,167778,56113,228411,300520,72109
Zion NP,102269,133718,31449,201097,260712,59615
