Park,jul 2019,jul 2020,jul DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,756439,493971,-262468,1579208,908598,-670610
Arches NP,208993,193824,-15169,1004390,523856,-480534
Badlands NP,250898,238875,-12023,582939,516893,-66046
Big Bend NP,21747,0,-21747,285971,182472,-103499
Biscayne NP,60239,28770,-31469,456675,289124,-167551
Black Canyon of the Gunnison NP,51368,61521,10153,250402,157951,-92451
Bryce Canyon NP,401970,227563,-174407,1477822,612594,-865228
Canyonlands NP,64672,70480,5808,438935,176131,-262804
Capitol Reef NP,129372,123274,-6098,722455,466150,-256305
Carlsbad Caverns NP,69444,18855,-50589,284758,102560,-182198
Channel Islands NP,47581,9999,-37582,237191,65579,-171612
Congaree NP,10936,12127,1191,103443,47227,-56216
Crater Lake NP,201191,209678,8487,375695,283056,-92639
Cuyahoga Valley NP,284928,284928,0,1268876,1268876,0
Death Valley NP,142487,42150,-100337,1001006,443929,-557077
Denali NP & PRES,168078,13824,-154254,377227,29359,-347868
Dry Tortugas NP,7692,3928,-3764,52110,24382,-27728
Everglades NP,63394,40005,-23389,670024,494738,-175286
Gates of the Arctic NP & PRES,2852,1178,-1674,4118,1183,-2935
Gateway Arch NP,583866,33748,-550118,1418904,314476,-1104428
Glacier Bay NP & PRES,152932,1480,-151452,410501,3260,-407241
Glacier NP,879711,453977,-425734,1675503,712726,-962777
Grand Canyon NP,756860,320802,-436058,3470878,1367684,-2103194
Grand Teton NP,775788,755766,-20022,1905275,1506023,-399252
Great Basin NP,23290,23033,-257,68292,52215,-16077
Great Sand Dunes NP & PRES,103293,102800,-493,348134,216831,-131303
Great Smoky Mountains NP,1613133,1726187,113054,6883123,5542893,-1340230
Guadalupe Mountains NP,13540,8285,-5255,112432,58245,-54187
Haleakala NP,86267,10048,-76219,574790,194986,-379804
Hawaii Volcanoes NP,133249,36164,-97085,815522,368675,-446847
Hot Springs NP,139005,49863,-89142,816541,352164,-464377
Indiana Dunes NP,449968,427408,-22560,1377124,1278143,-98981
Isle Royale NP,7714,2160,-5554,13763,2537,-11226
Joshua Tree NP,138967,147037,8070,1878641,1214088,-664553
Katmai NP & PRES,37318,37318,0,47508,47508,0
Kenai Fjords NP,120632,31809,-88823,240975,57251,-183724
Kobuk Valley NP,1750,612,-1138,7291,3860,-3431
Lake Clark NP & PRES,5114,5114,0,9232,9232,0
Lassen Volcanic NP,105535,135668,30133,230136,244556,14420
Mammoth Cave NP,102436,38908,-63528,347878,134419,-213459
Mesa Verde NP,113166,49824,-63342,332991,125450,-207541
Mount Rainier NP,365200,277865,-87335,777386,436438,-340948
National Park of American Samoa,4059,0,-4059,34463,3760,-30703
North Cascades NP,10656,6260,-4396,16496,7831,-8665
Olympic NP,517058,510073,-6985,1744396,1003802,-740594
Petrified Forest NP,90546,46925,-43621,407236,190107,-217129
Pinnacles NP,13016,10508,-2508,105279,91664,-13615
Redwood NP,69750,39126,-30624,307697,153412,-154285
Rocky Mountain NP,973992,723478,-250514,2477265,1632854,-844411
Saguaro NP,48553,25649,-22904,676288,460325,-215963
Sequoia NP,193633,194892,1259,688489,359607,-328882
Shenandoah NP,167335,242044,74709,659906,668788,8882
Theodore Roosevelt NP,149425,124698,-24727,379850,272370,-107480
Virgin Islands NP,8191,13639,5448,54041,108131,54090
Voyageurs NP,52031,62161,10130,143103,155787,12684
White Sands NP,66363,43251,-23112,379581,44796,-334785
Wind Cave NP,146531,89098,-57433,422272,249958,-172314
Wrangell-St. Elias NP & PRES,23372,5410,-17962,45259,6633,-38626
Yellowstone NP,936062,955645,19583,2294691,1664830,-629861
Yosemite NP,717462,500899,-216563,2306319,1037679,-1268640
Zion NP,629802,449518,-180284,2624013,1513645,-1110368
