Park,jun 2019,jun 2020,jun DIFF,YTD 2019,YTD 2020,YTD DIFF
Acadia NP,490720,201156,-289564,822769,414627,-408142
Arches NP,225206,163699,-61507,795397,330032,-465365
Badlands NP,201516,167784,-33732,332041,278018,-54023
Big Bend NP,21228,26735,5507,264224,182472,-81752
Biscayne NP,65173,32646,-32527,396436,260354,-136082
Black Canyon of the Gunnison NP,75289,27583,-47706,199034,96430,-102604
Bryce Canyon NP,398290,195463,-202827,1075852,385031,-690821
Canyonlands NP,92295,63685,-28610,374263,105651,-268612
Capitol Reef NP,151410,158421,7011,593083,342876,-250207
Carlsbad Caverns NP,57111,10124,-46987,215314,83705,-131609
Channel Islands NP,44915,7088,-37827,189610,55580,-134030
Congaree NP,13282,4278,-9004,92507,35100,-57407
Crater Lake NP,103442,59731,-43711,174504,73378,-101126
Cuyahoga Valley NP,284079,284079,0,983948,983948,0
Death Valley NP,122013,29350,-92663,858519,401779,-456740
Denali NP & PRES,144156,9550,-134606,209149,15535,-193614
Dry Tortugas NP,8041,4389,-3652,44418,20454,-23964
Everglades NP,68267,66916,-1351,606630,454733,-151897
Gates of the Arctic NP & PRES,647,5,-642,1266,5,-1261
Gateway Arch NP,296149,50905,-245244,835038,280728,-554310
Glacier Bay NP & PRES,132054,807,-131247,257569,1780,-255789
Glacier NP,544088,202701,-341387,795792,258749,-537043
Grand Canyon NP,643821,226037,-417784,2714018,1046882,-1667136
Grand Teton NP,625441,468201,-157240,1129487,750257,-379230
Great Basin NP,23246,16223,-7023,45002,29182,-15820
Great Sand Dunes NP & PRES,122086,78191,-43895,244841,114031,-130810
Great Smoky Mountains NP,1469857,1535660,65803.0000000001,5269990,3816706,-1453284
Guadalupe Mountains NP,14376,1588,-12788,98892,49960,-48932
Haleakala NP,85338,2376,-82962,488523,184938,-303585
Hawaii Volcanoes NP,113015,15903,-97112,682273,332511,-349762
Hot Springs NP,149049,65046,-84003,677536,302301,-375235
Indiana Dunes NP,302203,341505,39302,927156,850735,-76421
Isle Royale NP,4837,240,-4597,6049,377,-5672
Joshua Tree NP,187551,184139,-3412,1739674,1067051,-672623
Katmai NP & PRES,9690,9690,0,10190,10190,0
Kenai Fjords NP,91280,21121,-70159,120343,25442,-94901
Kobuk Valley NP,1398,490,-908,5541,3248,-2293
Lake Clark NP & PRES,3751,3751,0,4118,4118,0
Lassen Volcanic NP,63803,83355,19552,124601,108888,-15713
Mammoth Cave NP,76995,31525,-45470,245442,95511,-149931
Mesa Verde NP,108231,48110,-60121,219825,75626,-144199
Mount Rainier NP,219641,105540,-114101,412186,158573,-253613
National Park of American Samoa,3464,0,-3464,30404,3760,-26644
North Cascades NP,4520,1548,-2972,5840,1571,-4269
Olympic NP,499728,186034,-313694,1227338,493729,-733609
Petrified Forest NP,95451,40780,-54671,316690,143182,-173508
Pinnacles NP,19061,10364,-8697,92263,81156,-11107
Redwood NP,76137,29408,-46729,237947,114286,-123661
Rocky Mountain NP,698224,491355,-206869,1503273,909376,-593897
Saguaro NP,49481,20362,-29119,627735,434676,-193059
Sequoia NP,153882,52901,-100981,494856,164715,-330141
Shenandoah NP,170492,178942,8450,492571,426744,-65827
Theodore Roosevelt NP,134590,106279,-28311,230425,147672,-82753
Virgin Islands NP,10047,3645,-6402,45850,94492,48642
Voyageurs NP,47387,53895,6508,91072,93626,2554
White Sands NP,62127,1449,-60678,313218,1545,-311673
Wind Cave NP,125106,55498,-69608,275741,160860,-114881
Wrangell-St. Elias NP & PRES,16445,70,-16375,21887,1223,-20664
Yellowstone NP,781853,573597,-208256,1358629,709185,-649444
Yosemite NP,496625,236260,-260365,1588857,536780,-1052077
Zion NP,594896,377425,-217471,1994211,1064127,-930084
